participant_id	age	sex	hand	weight	height	group	species	bci_experience
sub-1	22	F	n/a	n/a	n/a	healthy	human	experienced
sub-10	35	F	n/a	n/a	n/a	healthy	human	experienced
sub-2	23	F	n/a	n/a	n/a	healthy	human	experienced
sub-3	27	F	n/a	n/a	n/a	healthy	human	experienced
sub-4	23	F	n/a	n/a	n/a	healthy	human	experienced
sub-5	23	F	n/a	n/a	n/a	healthy	human	experienced
sub-6	26	F	n/a	n/a	n/a	healthy	human	experienced
sub-7	40	F	n/a	n/a	n/a	healthy	human	experienced
sub-8	23	F	n/a	n/a	n/a	healthy	human	experienced
sub-9	26	F	n/a	n/a	n/a	healthy	human	experienced
